Transaction Date,Amount,Province,City,Description,Category
2022-12-10,-14.84,BC,BURNABY,CHURCH'S CHICKEN,
2022-12-10,-23.6,BC,BURNABY,SOLO KARAOKE,
2022-12-09,-9.98,BC,VANCOUVER,FITNESS WORLD KITSILAN,Gym/Fitness
2022-12-08,-18.23,BC,VANCOUVER,PEPPER LUNCH,
2022-12-07,-15.56,BC,VANCOUVER,SUMIRE SUSHI,Eating Out
2022-12-04,14.89,BC,VANCOUVER,LONDON DRUGS   74,Household
2022-12-04,-88.63,BC,VANCOUVER,MARKETPLACE IGA 024,Groceries
2022-12-03,-31.61,BC,VANCOUVER,SHOPPERS DRUG MART #22,Groceries
2022-12-03,-15.33,BC,VANCOUVER,SIEGEL'S BAGELS,
2022-12-03,-13.3,BC,VANCOUVER,DARBY'S PUB,
2022-12-02,-11.96,BC,VANCOUVER,QUESADA BURRITOS & TAC,
2022-12-01,-39.19,EU,EATTLE       D,STEAM PURCHASE         S,Eating Out
2022-12-01,-4.4,ON,TORONTO,UBER CANADA/UBEREATS,Eating Out
2022-12-01,-18.89,BC,VANCOUVER,PAPAYA HUT RESTAURANT,Eating Out
2022-11-30,-35.21,ON,TORONTO,UBER* EATS,Eating Out
2022-11-30,-7.61,BC,Vancouver,SQ *OBANHMI VANCOUVER,
2022-11-29,-15.32,BC,VANCOUVER,SUMIRE SUSHI,Eating Out
2022-11-28,720.49,OU,MENT - THANK Y,PAY,
2022-11-27,-146.32,ON,AMAZON.CA,Amazon.ca*HW9IE7961,Tech/Entertainment
2022-11-25,-9.98,BC,VANCOUVER,FITNESS WORLD KITSILAN,Gym/Fitness
2022-11-25,-20.0,BC,Vancouver,SQ *MOCHIDO,
2022-11-21,-17.38,BC,VANCOUVER,C&T FRIED CHICKEN,
2022-11-20,-60.09,BC,VANCOUVER,JUSTIN'S NF #3807,
2022-11-20,-4.09,BC,VANCOUVER,LONDON DRUGS   74,Household
2022-11-20,-25.13,BC,VANCOUVER,LONDON DRUGS   74,Household
2022-11-19,-25.07,BC,VANCOUVER,CARLOS O'BRYAN'S PUB,
